#,German,English,Srpski
3464,die Jugendherberge; -n,the youth hostel,Хостел
3465,gesamt,"entire, overall, comprehensive, whole, total","целокупно, целокупно, свеобухватно, целокупно, укупно"
3466,der Kommilitone; -n; -n,the classmate (in College or University) ('K_'),Разредник (на факултету или универзитету) ('К_')
3467,der Döner; -,the kebab,КЕБАБ
3468,der Schaufensterbummel; -,the window-shopping; the window-shopping expedition,Куповина прозора; Експедиција прозора
3469,die Tagesschau; -en,A very popular German Television News Program ('T_'),Врло популарна немачка телевизијска информативна програм ('Т_')
3470,empirisch,empirical,емпиричан
3471,die Rechtsanwältin; -nen,the female lawyer,Женски адвокат
3472,intolerant,intolerant,нетолерантан
3473,der Teekessel; -,the tea kettle,чајни чајник
3474,formlos,"informal, amorphous, informally, shapeless","неформални, аморфни, неформално, безоблични"
3475,das Schuhgeschäft; -e,"the shoe store ('Schuhladen"" or ...)","продавница обуће ('Сцхухладен ""или ...)"
3476,die Voraussetzung; -en,"the condition, precondition (to an agreement), requirement, prerequisite ('V_')","услов, предуслов (споразум), услов, предуслов ('в_')"
3477,Lettland,Latvia,Летонија
3478,mollig,"plump, chubby, snug, cozy","Плумп, Цхубби, Снуг, угодни"
3479,der Filzstift; -e,the felt tip pen,оловка са врха филца
3480,schwarzfahren,"to fare-dodge, to evade paying the fare (bus, train, cab)","До Фаре-Додге, да избегнете плаћање превознице (аутобус, воз, кабина)"
3481,der Weihnachtsfeiertag; -e,"the Christmas Day ('Weihnachten,' Weihnachtstag' or ...)","Божићни дан ('Веихнацхтен,' Веихнацхтстаг 'или ...)"
3482,die Dampflokomotive; -n,the steam locomotive,парни локомотива
3483,veränderlich,"changeable, versatile, shifting, fluctuating, variable ('variabel,' 'vielfältig,"" or 'v_')","Променљиво, свестрано, премештање, флуктуирајуће, променљиво ('вариабел,' 'виелфалтиг, ""или' в_ ')"
3484,"das Pflichtfach; -""er","the required subject, compulsory subject","потребан предмет, обавезни предмет"
3485,das Schwarzbrot; -e,the rye bread,ражи хлеб
3486,kürzen,"to shorten, reduce, cut back","да скратите, смањите, одсечете"
3487,vielfältig,"Diverse, varied, versatile, multi-faceted, various ('v_')","Различити, разноврсни, свестрани, вишеструки, разне ('в_')"
3488,das Regenwetter,the rainy weather (no plural),кишно време (без множине)
3489,kommunistisch,communist (adj.),Комунист (адј.)
3490,"der Mittelstand; -""e","the middle class, small to mid-size business","средња класа, мала до средње величине"
3491,touristisch,touristic,туристички
3492,die Komponistin; -nen,the female composer,женски композитор
3493,der Hockeyschläger; -,the hockey stick,хокејашки штап
3494,die Akku; -s,battery (not B_),Батерија (не б_)
3495,der Gastarbeiter; -,"the guest worker, foreign worker","гостујући радник, страни радник"
3496,die Bundesrepublik,the Federal Republic (no plural),Савезна република (без множине)
3497,die Anklage; -n,"the accusation, charge, prosecution, indictment ('A_')","Оптужба, оптужба, Тужилаштво, оптужница ('А_')"
3498,geographisch,geographic,географски
3499,das Hundewetter,the rotten weather ('H_') (no plural),труло време ('х_') (без множине)
3500,das Ornament; -e,the ornament,орнамент
3501,das Einzelbett; -en,the single bed,један кревет
3502,die Ewigkeit,"the eternity, perpetuity, immortality","вечност, вечност, бесмртности"
3503,der Traumberuf; -e,"the dream job, job of one's dreams","посао из снова, посао нечијих снова"
3504,väterlich,fatherly,очало
3505,die Semesterferien,the semester break (plural only),семестарско пауза (само множина)
3506,die Leidenschaft; -en,"the passion, fervor, zeal","страст, жарк, ревност"
3507,der Couchtisch; -e,the coffee table,стол за кафу
3508,verhalten (adj),"cautious, restrained, muted, subdued (adj)","опрезан, суздржан, пригушен, потчињен (адј)"
3509,der Kassenzettel; -,"the sales receipt, sales slip (not 'Verkaufsbeleg')","Пријем продаје, продаја Слип (Нот 'Веркауфсбелег')"
3510,der Champignon; -s,the mushroom,гљива
3511,heraufziehen,"to pull up, loom, gather (storm)","да се повучем, ткалачки, скупи се (олуја)"
3512,das Feinkostgeschäft; -e,"the delicatessen, deli","Тхе Делицатессен, Дели"
3513,glatzköpfig,"bald headed, bald","ћелав на челу, ћелав"
3514,übertreiben,"to exaggerate, overstate, boast","да преувеличавају, претеране, хвале се"
3515,zurückbezahlen,"to pay back, repay","да се врати, врати"
3516,der Personenwagen; -,the passenger car (automotive / rail),Путнички аутомобил (Аутомобилска / Раил)
3517,schlüpfrig,"elusive, salacious, slippery slick, risqué","Елусиве, Полуда, Слиппери Слицк, Рискуе"
3518,wolkig,cloudy ('w_'),облачно ('в_')
3519,die Abbildung; -en,"the illustration, picture, image, figure ('A_')","Илустрација, слика, слика, слика ('А_')"
3520,der Emigrant; -en; -en,the emigrant ('E_'),Емигрант ('Е_')
3521,die Fabel; -n,the fable,басна
3522,das Schulzeugnis; -se,"the school report card, school grades card ('S_')","Цард Сцхоол Репорт Цард, Цард Сцхоол Цардес ('С_')"
3523,zuordnen,"to match, assign, allocate","да се подударају, доделите, доделите"
3524,der Mikrowellenherd; -e,the microwave oven,микроталасна рерна
3525,gegebenenfalls,"if necessary, where appropriate, as the case may be","Ако је потребно, где је то потребно, овисно о случају"
3526,das Privileg; -ien,"the privilege, prerogative","привилегија, прерогатива"
3527,die Klassenarbeit; -en,the classwork,Класарница
3528,jobben,"to work (part-time), to temp (work), do odd jobs","на рад (хонорарно), темп (посао), урадите непарне послове"
3529,hageln,to hail,да се поздравља
3530,"der Fensterladen; -""",the window shutter,прозорско затварач
3531,das Schaubild; -er,"the chart, schematic, diagram, graph","Графикон, шематски, дијаграм, Графикон"
3532,der Klapptisch; -e,the folding table,савијајући сто
3533,die vorgehensweise; -n,"the approach, procedure, strategy, tactic, method (of dealing with sth)","Приступ, поступак, стратегија, тактика, метода (бавећи се Ст)"
3534,das Umland,"the surrounding region, surrounding land (no plural)","Околина, околина (без множине)"
3535,die Damenabteilung; -en,the women's department,Женски одељење
3536,die Informatik,"the Computer Science, IT (Information Technology","Рачунарска наука, ИТ (информациона технологија"
3537,der Puls; -e,"the pulse, pulse rate, heart rate","Пулс, брзина пулса, откуцаја срца"
3538,der Kreisverkehr; -e,the traffic circle; the roundabout,саобраћајни круг; кружни ток
3539,regnerisch,rainy,кишовит
3540,konfrontieren,to confront,суочити
3541,prächtig,"superb, splendid, stately, magnificent ('p_')","Суперб, сјајан, величанствени, величанствени ('п_')"
3542,wegschwimmen,to swim away,да пливам даље
3543,dual,dual,двострук
3544,umfassend,"comprehensive, including, full, comprising, extensive ('u_')","Свеобухватно, укључујући, пун, који садржи, опсежан ('у_')"
3545,entwerten,"to cancel, stamp or validate (a ticket), void, devalue","Да бисте отказали, печали или потврдили (улазнице), неваљане, девалве"
3546,das Etagenbett; -en,the bunk bed,кревет на спрат
3547,die Ohrenschmerzen,the earache (plural only),бол у ушима (само множина)
3548,der Rechner,"computer, calculator, computers","Рачунар, калкулатор, рачунари"
3549,wolkenlos,"cloudless, clear (sky)","без облака, чисто (небо)"
3550,das Bruttosozialprodukt; -e,the Gross National Product,Бруто национални производ
3551,abbestellen,to cancel an order,Да бисте отказали поруџбину
3552,die Geldtasche; -n,the wallet ('G_'),новчаник ('г_')
3553,die Ingenieurin; -nen,the female engineer,инжењер жене
3554,die Buslinie; -n,the bus line,аутобуска линија
3555,österreichisch,Austrian (adj.),Аустријски (адј.)
3556,Liechtenstein,Liechtenstein,Лихтенштајн
3557,verwandeln,"to transform, to metamorphose, to convert sb/sth, to turn sth into sth else","да се трансформише, на метаморфозу да претвори СБ / СТ, да се окрене у шта друго"
3558,das Gerücht; -e,"rumor, hearsay","гласине, слушни"
3559,die Seniorin; -nen,the female senior citizen,Старији грађанин
3560,der Staatschef; -s,the head of state,шеф државе
3561,proklamieren,to proclaim,да прогласи
3562,das Junkfood; -s,the junk food,безвриједна храна
3563,undefinierbar,indefinable,неодредив
3564,der Azubi; -s,"the apprentice, trainee (abbreviation of Auszubildende)","Тхе Аппрентице, Полазниее (скраћеница Аусзубилденде)"
3565,zusammenwohnen,to live together,да живе заједно
3566,überschnappen,"to go crazy, to snap (not 'ausrasten')","да полуди, да скратим (не ""аусрастен"")"
3567,die Platzkarte; -n,"the reservation ticket (for a seat), reservation card","Карта за резервацију (за седиште), резервација картица"
3568,das Sauwetter,the rotten weather ('S_') (no plural),труло време ('с_') (без множине)
3569,verhalten,"to restrain, contain (one's temper) hold (breath), curb (appetite), control","да се обуздавају, садрже (нечије темперамент) држите (дах), ивичњаком (апетит), контрола"
3570,ehemalig,"former, onetime","бивше, оно дете"
3571,spritzen,"to splash, squirt, spritz, inject, spurt, splatter, spray, sprinkle, slosh","да прскају, шприцају, спритз, убризгавају, штрцајте, прскање, спреј, поспите, слом"
3572,multikulturell,multicultural,мултикултурални
3573,aufrunden,"to round up, adjust upward","да заокружите, прилагодите се према горе"
3574,die Gesamtbevölkerung; -en,the total population,укупно становништво
3575,haarlos,hairless,без косе
3576,die Europäerin; -nen,the female European,Женски европски
3577,kanadisch,Canadian (adj.),Канадски (адј.)
3578,die Kocherei,the cooking (no plural),Кување (без множине)
3579,der Erziehungsurlaub; -e,"the pregnancy leave, childcare leave","Одлазите на трудноћу, одлазите о деци"
3580,osteuropäisch,Eastern European (adj.),Источни европски (адј.)
3581,bayerisch,Bavarian,Баварски
3582,die Beobachtung; -en,"the observation, monitoring, surveillance ('not Bet_')","Посматрање, надзор, надзор ('није бет_')"
3583,"das Bundesministerium; die
Bundesministerien",the federal ministry,Федерално министарство
3584,beeindruckt,impressed,импресиониран
3585,der Hauptberuf; -e,"the day job, one's regular job","дневни посао, редован посао"
3586,"der Hochschulabschluss; -""e",the university degree ('H_'),Универзитетска диплома ('Х_')
3587,"die Partnerstadt; -""e","the twin city, sister city","Град Твин, сестрински град"
3588,farbig,"colored, in color, colorful","обојене, у боји, шарене"
3589,herunterladen,"to download (not 'downloaden,' 'laden')","да преузмете (не ""Довнлоаден"", ""Ладен ')"
3590,das Farbfoto; -s,the color photo,Фотографија у боји
3591,die Hauptsache; -n,"the main thing, the most important thing","главна ствар, најважнија ствар"
3592,die schlacht; -en,"battle, slaughter (of people), combat","битка, клање (људи), борбено"
3593,angesehen,"respected, imminent, reputed, prestigious ('a_')","угледни, непосредни, познати, престижни ('а_')"
3594,durchaus,"quite, perfectly, completely, thoroughly, definitely, absolutely ('d_')","Сасвим, савршено, потпуно потпуно, детаљно, дефинитивно, апсолутно ('д_')"
3595,die Deutschstunde; -n,the German lesson,Немачка лекција
3596,"der Sommerschlussverkauf; -""e","the summer closeout sale, summer clearance sale","Суммер Цлосеут распродаја, летња распродаја"
3597,die Nachttischlampe; -n,the bedside lamp,ноћна лампа
3598,wässerig,"watery, diluted","воденаста, разблажена"
3599,die Wetterkarte; -n,the weather map,Временска мапа
3600,das Verkehrszeichen; -,"the traffic sign, street sign, road sign","саобраћајни знак, улични знак, путни знак"
3601,umfangreich,"extensive, enormous, comprehensive","опсежно, огромно, свеобухватно"
3602,gebührenfrei,"free, without charge (ge_)","бесплатно, без накнаде (ГЕ_)"
3603,sehenswert,worth seeing,вредно гледања
3604,die Zahnklinik; -en,the dental clinic,Стоматолошка клиника
3605,rauswachsen,to grow out,да расте
3606,der Elektroherd; -e,the electric stove,електрична пећница
3607,die reichweite; -n,"the range, reach, scope, coverage","Домет, досег, обим, покривеност"
3608,bedingen,"to require, determine, necessitate ('b_')","да захтева, одредите, захтевају ('б_')"
3609,der Sauerbraten; -,the marinated roast beef,маринирана печена говедина
3610,der Beistelltisch; -e,the end table,крајњи сто
3611,der Bundestag,the German parliament (no plural),Немачки парламент (без множине)
3612,der Weinkenner; -,the wine connoisseur,Вино познавалац
3613,der Esslöffel; -,the tablespoon,кашика
3614,die Rückkehr; -,"the return, recurrence, comeback","повратак, рецидив, повратак"
3615,voran,"forth, ahead, before, at the head","напред, напред, пре, на глави"
3616,der flüchtling; -e,"the refugee, fugitive","избеглица, бјегунац"
3617,mitlesen,to read along,да се чита
3618,die Anfrage; -n,"the inquiry, question, query","Упит, питање, упит"
3619,feige,cowardly,кукавички
3620,der Ossi; -s,the East German,Источни Немачки
3621,der Wessi; -s,the West German,западно немачки
3622,die Blumenhändlerin; -nen,the female florist,женски цвећар
3623,preisgünstig,"low-priced, economical, inexpensive (not 'preiswert') ('p_')","Нискоцени, економични, јефтини (не 'преисверт') ('п_')"
3624,der Fußgängerüberweg; -e,"the pedestrian bridge, pedstrian crossing ('F_')","Пешачки мост, педстриан прелаз ('Ф_')"
3625,die Querflöte; -n,the transverse flute,попречна флаута
3626,das Sportprogramm; -e,the sports program,Спортски програм
3627,die Fleischerei; -en,"the butcher shop, meat market ('F_')","Месарска продавница, месно тржиште ('Ф_')"
3628,hügelig,hilly,брдовит
3629,belgisch,Belgian (adj.),Белгијски (адј.)
3630,das Kleidergeschäft; -e,the clothing store (K~),продавница одеће (К ~)
3631,ätzend,irritating; really annoying; sucky [colloquial],иритантно; стварно неугодно; сицки [колоквијално]
3632,die Blockflöte; -n,the recorder (musical instrument),Диктафон (музички инструмент)
3633,sandig,sandy,Пешчана
3634,das Delikatessengeschäft; -e,the delicatessen,Делицатессен
3635,die Festung; -en,"the fortress, stronghold, fort","Тврђава, Стронгхолд, Форт"
3636,klassenlos,"classless (society), without classes","без разреза (друштво), без класа"
3637,momentan,"momentary, present, for the moment, at the moment","Тренутно је тренутни тренутак, за сада"
3638,buschig,bushy,бујан
3639,passioniert,passionate,страствен
3640,das Fotogeschäft; -e,the photo store,Фото продавница
3641,zukünftig,"future, in the future",будућност у будућности
3642,israelisch,Israeli (adj.),Израелски (адј.)
3643,die Bauchschmerzen,stomachache (plural),болови у стомаку (множини)
3644,mutterlos,motherless,без мајке
3645,fleischlos,"meatless, fleshless, without meat","без меса, без меса без меса"
3646,vaterlos,fatherless,без оца
3647,das Spielwarengeschäft; -e,the toy store,продавница играчака
3648,der Ortsname; -ns; -n,the place name,Назив места
3649,die Dreiergruppe; -n,"the threesome, triad, trio, group of three","Троје, Триад, Трио, група од три"
3650,die Peseta; die Peseten,the peseta (former Spanish currency),Песета (бивша шпанска валута)
3651,einschmieren,"to rub in, to smear in","да се трља, размазити унутра"
3652,die Residenz; -en,the residence,пребивалиште
3653,emigrieren,to emigrate ('e_'),да емигрира ('е_')
3654,nieseln,to drizzle (rain),да дриззле (киша)
3655,"der Winterschlussverkauf; -""e","the winter sale, winter closeout sale","Зимска продаја, зимска близина продаје"
3656,das Softeis,the soft ice cream (no plural),меко сладолед (без множине)
3657,die Brauerei; en,"the brewery, beer plant, beer company","Пивара, биљка пива, компанија за пиво"
3658,das Eigentum; -,"the property, possession, ownership, properties","имовина, поседовање, власништво, својства"
3659,die Glückwunschkarte; -n,"the greeting card (christmas card, birthday card, etc.)","Честитка (божићна карта, рођенданска картица итд.)"
3660,die Herrenabteilung; -en,the men's department,Мушка одељење
3661,interkulturell,intercultural,интеркултурални
3662,schunkeln,to sway to the music,да се њише у музику
3663,die Sportabteilung; -en,the sporting goods department,Одељење за спортску робу
3664,das Autobahnkreuz; -e,the highway intersection,раскрсница аутопута
3665,das Informationszeitalter,the Information Age (no plural),Информативна старост (без множине)
3666,zweisprachig,bilingual,двојединган
3667,die Studienrichtung; en,the field of study,поље студија
3668,rezeptfrei,"prescription-free, available over the counter (U.S.)","Бесплатно рецепт, доступан преко шалтера (УС."
3669,der Heimtrainer; -,"the exercise machine, home gym","Машина за вежбање, кућна теретана"
3670,der Kulturschock,the culture shock (no plural),Културни шок (без множине)
3671,unkultiviert,"unrefined, rude, uncultivated","нерафиниран, безобразан, некултивиран"
3672,imaginär,"imaginary ('erfunden', eingebildet', or ...)","имагинарни ('ерфунден', еингебиллет ', или ...)"
3673,das Blumengeschäft; -e,the flower shop ('Blumenladen' or...),Цвећара ('Блуменладен' или ...)
3674,reifen,"to ripen, mature, age","сазрети, зрети, старост"
3675,der Goldschmied; -e,the goldsmith,златар
3676,möglichst viel,as much as possible (so viel wie möglich or ... 'm~'),што је више могуће (па виел вие моглицх или ... 'м ~')
3677,in Ordnung,in order (as it should be),Да би требало да буде)
3678,der Tennisschuh; -e,the tennis shoe,ципела тениса
3679,Guten Rutsch!,Happy New Year! (Frohes Neues Jahr or ...'G_'),Срећна Нова година! (Фрохес Неуес Јахр или ... 'Г_')
3680,Sie hat keine Ahnung.,She has no clue/idea,Она нема појма / идеју
3681,Tschüss!,"Bye bye, so long ('T_')","Збогом, тако дуго ('т_')"
3682,die Überlegung; -en,"the consideration, deliberation, reflection, pondering, thought","разматрање, расправљање, одраз, размишљање, мисли"
3683,die Wochenzeitung; -en,the weekly newspaper,Недељни лист
3684,sich in jemand verlieben,to fall in love with sb,да се заљубим у сб
3685,die klassische Musik; -en,the classical music,Класична музика
3686,aufs Land,to the country,на село
3687,sich die Haare trocknen,to dry one's hair,да осуши нечију косу
3688,Sie ist eine Nervtante.,She gets on my nerves. (2),Долази ми на живце. (2)
3689,"der Stab; -""e","the staff, rod, bar, stick, wand","особље, штап, бар, штап, штапић"
3690,die Übertragung; -en,"the transfer, transmission, delivery, broadcast, broadcasting","Пренос, пренос, достава, емитовање, емитовање"
3691,"der Klappstuhl; -""e",the folding chair,преклопна столица
3692,verwendbar,usable; applicable,употребљив; применљив
3693,die Qual; -en,"torture, agony, anguish","Мучење, агонија, тјескобе"
3694,der Stoffbär; -en; -en,the stuffed toy bear,пуњени медвјед
3695,"der Schrebergarten; -""",the garden plot,Земрт
3696,der Superlativ; -e,the superlativ,Суперлатив
3697,der Baustil; -e,the building style,Стил зграде
3698,der Wahnsinn; -,"madness, insanity (not 'Irrsinn')","лудило, лудило (не 'ирринн')"
3699,sich setzen,to sit oneself down ('s~'),да седнете ('с ~')
3700,sich erinnern,to remember ('s_'),да се сетим ('с_')
3701,Lust haben,to have an urge (for sth),имати нагон (за стх)
3702,hier unten,down here,овде
3703,die Theaterkarte; -n,the theatre ticket,позоришна карта
3704,im Gegensatz zu,in contrast to,насупрот
3705,das Können; -,"the prowess, ability, skills, expertise ('K_')","Облачност, способност, вештине, стручност ('к_')"
3706,Verflixt!,"Darn it!, dang! shoot! blimey, bloody","Проклетство!, Данг! Пуцај! Блимеи, проклето"
3707,der Blitz,the lightning,муња
3708,der Wohnungsbau; -,"the housing construction, residential construction, appartment construction","Изградња станова, стамбена конструкција, конструкција апартмана"
3709,der Hausschuh; -e,"the house shoe, bedroom slipper, slipper","кућна ципела, папучица спаваће собе, папучица"
3710,die Rockgruppe; -n,the rock group,роцк група
3711,Sie wird einundzwanzig.,She's going to be twenty-one.,Имаће двадесет и један.
3712,sich langweilen,to be bored,досађивати се
3713,die Gießkanne; -n,the watering can,залијевање може
3714,fallen lassen,"to drop, let fall","да падне, нека падне"
3715,zusammenstoßen,"to collide (2 objects) clash, run into, bump into, encounter sb/sth","да се сукобљавају (2 објеката) сукобом, уђите у, налетите на сб / стх"
3716,der Familienname; -ns; -n,"the surname, last name, family name","Презиме, презиме, презиме"
3717,begründet,"justified, founded, established","оправдано, основано, основано"
3718,um ... zu ...,in order to ...,да би ...
3719,der Wohnraum,"living space, living room, living area","Животни простор, дневни боравак, дневни боравак"
3720,kuscheln,to cuddle,да се мази
3721,das Geschwister,the sibling(s) (on official documents),браћа (и) (о службеним документима)
3722,gut aussehend,"good looking, attractive, handsome 2 parts ('g_')","Добар поглед, атрактиван, згодни 2 дела ('г_')"
3723,die Hecke schneiden,to clip/cut the hedge(s),да се копче / прекине живице
3724,das Öl; -e,the oil,уље
3725,im Voraus,"beforehand, in advance, up front (i_) (2 part phrase)","унапред, унапред, унапред (и_) (2 дела фраза)"
3726,der Klimawandel,climate change,климатске промене
3727,Ich habe Hunger.,I'm hungry.,Гладан сам.
3728,Es donnert.,It's thundering.,То је громогласно.
3729,der Mittelklassewagen; -,the mid-sized car,аутомобил средње величине
3730,das Unternehmen; -,"company, enterprise, corporation, business, firm","Компанија, предузеће, корпорација, пословање, фирма"
3731,ungern,"reluctantly, begrudgingly, unwillingly (not ""unwillig', 'widerwillig')","невољко, бегудгитно, невољко (не ""невољни"", ""ВидерВиллиг ')"
3732,pleite,"broke, bankrupt, penniless (adj)","Броке, банкрот, пеннилесс (адј)"
3733,bei Nacht,"at night, by night ('nachts' or ...)","Ноћу, ноћу ('Нацхтс' или ...)"
3734,Es macht mir Spaß.,It's fun to me. It's fun ('es_'),За мене је забавно. Фун је ('ес_')
3735,der Schädel,"skull, cranium","лобања, кранија"
3736,hoffentlich,hopefully,Надајмо се
3737,in der Praxis,"in practice ('faktisch', 'in Wirklichkeit', or ...)","у пракси ('фактисцх', 'у Вирклицхкеит', или ...)"
3738,sich interessieren für,to be interested in,бити заинтересован за нешто
3739,das Parfüm; -e,the perfume,парфем
3740,ums Leben kommen,to die (idiom) (3 parts) ('u_'),да умре (идиом) (3 дела) ('у_')
3741,der Toner,the toner (laser printer),тонер (ласерски штампач)
3742,Angst kriegen,to get scared ('Angst bekommen' or 'A_'),"да се уплашим (""Ангст Бекоммен"" или 'А_')"
3743,zurückwerfen,"to throw back, reflect, bounce, reverberate, put back (delay)","да се бацају, одражавају, одскочите, одступите, вратите се (кашњење)"
3744,das Rheintal,the Rhine valley (no plural),Валлеи Рајна (без множине)
3745,das letzte Mal,the last time (no plural),последњи пут (без множине)
3746,Ende Juli,the end of July,крај јула
3747,zweieinhalb,two and a half,два и по
3748,sogenannt,so-called,такозвани
3749,sag mal,"say, tell me","реци, реци ми"
3750,der Individualist; -en; -en,the individualist,индивидуалиста
3751,be-schleu-ni-gen,"to accelerate, speed up, hasten","да се убрза, убрзава, убрзава"
3752,die Härte; -en,"hardship, severity, harshness, rigidity, toughness","Тешка, тежина, оштрина, крутост, жилавост"
3753,in Pension gehen,"to go on pension, to retire ('in Rente gehen' or ...)","ићи на пензију, да се пензионише (""у рентаму гехену"" или ...)"
3754,der Dienst,"Short for Tuesday (Tue.) service, duty","Кратко за уторак (Туе.) услуга, дужност"
3755,die Stoppel,the stubble (no plural),Стуббле (без множине)
3756,immer noch,"still, yet, to this day","Ипак, ипак, до данас"
3757,deutschsprachig,German-speaking,Немачки говорник
3758,die Bürohilfe,the office help (no plural),Помоћ у канцеларији (без множине)
3759,gleich um die Ecke,right around the corner,одмах иза угла
3760,Igitt!,Yuck! ('pfui!' or ...),Иуцк! ('пфуи!' или ...)
3761,das Beisel; -n,the pub (Austrian term),Паб (аустријски израз)
3762,Jahrelang,"for years, for ages","Годинама, вековима"
3763,spätestens,"at the latest, no later than","најкасније, најкасније"
3764,der Datenschutz; -,"the data protection, data privacy","Заштита података, приватност података"
3765,sich amüsieren,"to enjoy oneself ('sich vergnügen,' 'sich unterhalten,' or ...)","уживати у себи ('сицх вергнуген "", сицх унтерхалтен,' или ...)"
3766,Vorsicht!,"Be careful!, watch out! ('V_')",Пазите! Пазите! ('В_')
3767,der Unternehmer; -,"the entrepreneur, businessman, contractor","Предузетник, бизнисмен, извођач радова"
3768,die EDV-Kenntnisse,"the computer experience, computer skills","Искуство рачунара, рачунарске вештине"
3769,Das ist echt toll.,"That is really fantastic/awesome, great","То је заиста фантастично / феноменално, сјајно"
3770,sich etwas vorstellen,to imagine something ('s_'),да нешто замислим ('с_')
3771,sämtlich,"altogether, all, complete (set of sth)","Свеукупно, све, комплетно (сет од стх)"
3772,der Südpol,the South Pole (no plural),Јужни пол (без множине)
3773,die Empfehlung; -en,"the recommendation, advice, reference","Препорука, савет, референца"
3774,neuseeländisch,New Zealand (adj.),Нови Зеланд (адј.)
3775,anonym,"anonymous, anonymously","Анонимни, анонимно"
3776,der Ruf; -e,"the reputation, call (from the distance), standing (reputation)","углед, позив (од даљине), стојећи (репутација)"
3777,der Lieferwagen; -,the delivery van,испоручивање
3778,der Kompromiss; -e,"the compromise, tradeoff","компромис, компромис"
3779,verzweifeln,"to despair, to become desperate","на очај, да постане очајан"
3780,den Tisch decken,to set the table,поставити сто
3781,"die Weißwurst; -""e",the veal sausage,телећа кобасица
3782,die Südseeinsel; -n,the South Sea island,Острво Јужни Сеа
3783,der Faschingsdienstag; -e,"the Shrove Tuesday, Mardi Gras (term used in southern Germany and Austria)","Жлекса у уторак, Марди Грас (израз који се користи у јужној Немачкој и Аустрији)"
3784,die Tafel; -n,"the board, blackboard, plaque (awards), panel, slab","плоча, плоча, плоча (награде), панел, плоча"
3785,auf die Toilette gehen,to go to the restroom,ићи у тоалет
3786,vergleichbar,"comparable, similar (not 'gleichermaßen')","упоредиво, слично (не 'Глеицхермаßен')"
3787,Spaß haben,to have fun,забављати се
3788,die freie Marktwirtschaft,free enterprise,слободно предузетништво
3789,die Zimmerpflanze; -n,the houseplant,једбалта
3790,einen Spaziergang machen,to go for a walk (idiom),да иде у шетњу (идиом)
3791,Gesundheit!,Bless you!,Наздравље!
3792,Du hast Recht.,You're right. ('Da haben Sie recht' or ...) (familiar du form),У праву си. ('Да хабен сие рецхт' или ...) (познати дУ образац)
3793,im Moment,"at the moment, for the moment","Тренутно, за сада"
3794,verbrennen,"to burn, sear, incinerate, scorch ('v_')","За изгоревање, Сеар, Сцинтеринг, Сцорцх ('В_')"
3795,erkältet sein,to have a cold,да се прехлади
3796,zum ersten Mal,for the first time,по први пут
3797,der Ostermontag; -e,the Easter Monday,Ускршњи понедељак
3798,reagieren (auf),to react (to),да реагује (на)
3799,"der Übergang; -""e","the transition, segue (music), junction, crossover, crossing","транзиција, сегуе (музика), спајање, цроссовер, прелаз"
3800,gestehen,"to confess, admit (not 'zugeben')","признати, признати (не ""Зугебен"")"
3801,der Hai; -e,the shark,Ајкула
3802,betteln (um),to beg (for),за просјак (за)
3803,zum Geburtstag gratulieren,to wish a happy birthday,да пожелим срећан рођендан
3804,rezeptpflichtig,"available on prescription (drug), requiring a prescription (adj.)","Доступно на рецепту (лек), захтева рецепт (адј.)"
3805,der Treffer; -,"the strike, hit, goal (sports)","штрајк, хит, циљ (спорт)"
3806,südlich (von),south (of),јужно од)
3807,gewidmet,"dedicated, devoted, given","посвећено, посвећено, дано"
3808,"der Ansatz; -""e","the approach (to a problem), concept, attempt, start","приступ (на проблем), концепт, покушај, старт"
3809,zum einen,"for one thing, for one, on the one hand, for a start","за једну ствар, за једну, с једне стране, за почетак"
3810,der Tipp; -s,"hint, tip, clue, pointer (T_)","Савет, Савет, Цлуе, Поинтер (Т_)"
3811,sich duschen,to take a shower,да се истуширам
3812,wurmig,wormy,црвљив
3813,demnach,"thus, so, hence, according to this ('d_')","Дакле, дакле, према томе, према овом ('д_')"
3814,das Verhalten; -,"the behavior, conduct, demeanor","понашање, понашање, понашање"
3815,eine Stunde lang,one hour long,један сат
3816,die Gemeinsamkeit; -en,"the commonality, common feature, common ground ('G_')","заједничка, заједничка карактеристика, заједничка земља ('г_')"
3817,um die Wette laufen,to run a race (idiom),да покрене трку (идиом)
3818,die Platzreservierung; -en,the seat reservation,резервација седишта
3819,die Hinfahrt; -en,"the journey there, the trip toward a specific destination","путовање тамо, путовање према одређеном одредишту"
3820,vorn(e),at the front,на фронту
3821,die Realschule; -n,the secondary school ('R_'),Средња школа ('Р_')
3822,die Beute; - kein plural oder n,"the prey, booty, loot, quarry, box (for beekeeping)","плен, плијен, плијен, каменолом, кутија (за пчеларство)"
3823,hinunterfallen,"to drop down, fall down ('herunterfallen' or ... 'hi'_)","да се спусти, падне доле ('херунтерфаллен' или ... 'хи'_)"
3824,der Henkel; -,"the handle (of a cup, pitcher, etc.), handhold (not 'Griff')","Ручка (шоља, бацача, итд.), Хандхолд (не 'Грифф')"
3825,dabei,"thereby, at that point, as well, with it, in the process, at the same time (not
'damit')","на тај начин, у том тренутку, у том тренутку, у том процесу, у исто време (не
'дамит')"
3826,die Angelegenheit; -en,"matter, issue, affair, concern, case","Материја, питање, афера, забринутост, футрола"
3827,der Bankkaufmann; -leute,the bank clerk,службеник банке
